property_address,status
2341 FRANKLIN ST,"Work Complete, CFC Issued"
2648 GOUGH ST,"Work Complete, CFC Issued"
481 ELIZABETH ST,"Work Complete, CFC Issued"
2420 FOLSOM ST,Non-Compliant
400 26TH AV,"Work Complete, CFC Issued"
959 HAIGHT ST,"Work Complete, CFC Issued"
501 COLUMBUS AV,"Permit Submitted, CFC Required by 9/15/20"
500 BUCHANAN ST,"Work Complete, CFC Issued"
47 NOE ST,"Work Complete, CFC Issued"
2530 FILLMORE ST,Non-Compliant
1595 NOE ST,"Work Complete, CFC Issued"
781 CORBETT AV,Non-Compliant
1323 16TH AV,"Work Complete, CFC Issued"
2090 GROVE ST.,"Work Complete, CFC Issued"
3255 SACRAMENTO ST,"Permit Submitted, CFC Required by 9/15/20"
646 08TH AV,"Work Complete, CFC Issued"
1718 HYDE ST,"Work Complete, CFC Issued"
1980 SACRAMENTO ST,"Work Complete, CFC Issued"
1235 BAY ST,Non-Compliant
2736 FRANKLIN ST,"Work Complete, CFC Issued"
438 GUERRERO ST (REAR BUILDING),"Work Complete, CFC Issued"
532 28TH AV,Non-Compliant
3471 PIERCE ST,"Work Complete, CFC Issued"
1822 MCALLISTER ST,"Work Complete, CFC Issued"
1224 WASHINGTON ST,Non-Compliant
154 COLE ST,"Work Complete, CFC Issued"
3053 SACRAMENTO ST,"Work Complete, CFC Issued"
728 BROADWAY,"Work Complete, CFC Issued"
1230 HAIGHT ST,"Work Complete, CFC Issued"
73 BROSNAN ST,"Permit Submitted, CFC Required by 9/15/20"
350 GLENVIEW DR,"Work Complete, CFC Issued"
577 CASTRO ST,Non-Compliant
3250 WEBSTER ST,"Work Complete, CFC Issued"
745 PINE ST,"Work Complete, CFC Issued"
1064 DOLORES ST,Non-Compliant
4301 BALBOA ST,"Work Complete, CFC Issued"
1409 SOUTH VAN NESS AV,Non-Compliant
50 PALM AV,"Work Complete, CFC Issued"
2074 UNION ST,"Work Complete, CFC Issued"
250 GUERRERO ST,"Work Complete, CFC Issued"
1855 TURK ST,"Work Complete, CFC Issued"
1351 MASON ST,Non-Compliant
1930 FRANKLIN ST,"Work Complete, CFC Issued"
401 28TH AV,"Work Complete, CFC Issued"
241 PAGE ST,"Work Complete, CFC Issued"
1931 JONES ST,"Work Complete, CFC Issued"
1565 LARKIN ST,"Work Complete, CFC Issued"
240 COLLINS ST,"Work Complete, CFC Issued"
719 34TH AV,Non-Compliant
122 11TH AV,"Work Complete, CFC Issued"
985 OAK ST,"Permit Submitted, CFC Required by 9/15/20"
1223 KEARNY ST,"Work Complete, CFC Issued"
624 SHRADER ST,"Work Complete, CFC Issued"
1670 MCALLISTER ST,Non-Compliant
1 TOLEDO WY,"Work Complete, CFC Issued"
1025 POWELL ST,Non-Compliant
2882 GEARY BL,"Permit Submitted, CFC Required by 9/15/20"
1685 CHESTNUT ST,"Permit Submitted, CFC Required by 9/15/20"
278 STATES ST,"Work Complete, CFC Issued"
2401 JACKSON ST,"Work Complete, CFC Issued"
241 TELEGRAPH HILL BL,"Work Complete, CFC Issued"
81 WOODWARD ST,"Work Complete, CFC Issued"
880 VALLEJO ST,"Work Complete, CFC Issued"
2590 SACRAMENTO ST,Non-Compliant
400 BROADWAY,"Work Complete, CFC Issued"
1855 10TH AV,Non-Compliant
725 MONTEREY BL,"Permit Submitted, CFC Required by 9/15/20"
536 IRVING ST,"Permit Submitted, CFC Required by 9/15/20"
1449 LEAVENWORTH ST,"Work Complete, CFC Issued"
25 CAPRA WY,"Work Complete, CFC Issued"
3801 IRVING ST,Non-Compliant
87 07TH AV,Non-Compliant
725 CORBETT AV,Non-Compliant
430 34TH AV,"Work Complete, CFC Issued"
1815 OAK ST,"Work Complete, CFC Issued"
250 DIVISADERO ST,"Work Complete, CFC Issued"
1535 48TH AV,"Work Complete, CFC Issued"
1082 PINE ST,"Work Complete, CFC Issued"
1801 GREENWICH ST,"Work Complete, CFC Issued"
2245 CABRILLO ST,"Work Complete, CFC Issued"
552 HAYES ST,"Permit Submitted, CFC Required by 9/15/20"
1370 11TH AV,"Work Complete, CFC Issued"
424 44TH AV,"Work Complete, CFC Issued"
3525 ANZA ST,"Work Complete, CFC Issued"
1711 LAKE ST,"Work Complete, CFC Issued"
345 ARGUELLO BL,Non-Compliant
5700 CALIFORNIA ST,"Work Complete, CFC Issued"
1101 TREAT AV,Non-Compliant
443 VALENCIA ST,"Permit Submitted, CFC Required by 9/15/20"
1215 BAY ST,"Work Complete, CFC Issued"
2474 BUSH ST,"Work Complete, CFC Issued"
195 EUREKA ST,"Permit Submitted, CFC Required by 9/15/20"
436 TEHAMA ST,"Permit Submitted, CFC Required by 9/15/20"
500 09TH AV,"Work Complete, CFC Issued"
2300 NORTH POINT ST,"Work Complete, CFC Issued"
750 FILBERT ST,"Permit Submitted, CFC Required by 9/15/20"
1234 12TH AV,"Work Complete, CFC Issued"
650 ALVARADO ST,"Work Complete, CFC Issued"
475 GREEN ST,Non-Compliant
45 WHITNEY ST,Non-Compliant
3074 21ST ST,"Work Complete, CFC Issued"
27 GRAYSTONE TR,"Work Complete, CFC Issued"
1046 PACIFIC AV,Non-Compliant
466 23RD AV,"Work Complete, CFC Issued"
1949 GREEN ST,"Work Complete, CFC Issued"
334 03RD AV,"Work Complete, CFC Issued"
155 BARTLETT ST,Non-Compliant
1415 05TH AV,"Work Complete, CFC Issued"
2645 FRANKLIN ST,Non-Compliant
30 SYCAMORE ST,"Work Complete, CFC Issued"
1420 JONES ST,Non-Compliant
239 DORLAND ST,"Work Complete, CFC Issued"
3215 CLEMENT ST,"Work Complete, CFC Issued"
301 MONTEREY BL,"Work Complete, CFC Issued"
1120 HYDE ST,"Work Complete, CFC Issued"
5 CASHMERE ST,"Work Complete, CFC Issued"
3010 FULTON ST,"Work Complete, CFC Issued"
508 SCOTT ST,Non-Compliant
2801 SACRAMENTO ST,"Work Complete, CFC Issued"
2345 FILBERT ST,"Work Complete, CFC Issued"
1488 FULTON ST,"Permit Submitted, CFC Required by 9/15/20"
738 DIVISADERO ST,Non-Compliant
191 BELVEDERE ST,"Work Complete, CFC Issued"
301 VALENCIA ST,"Permit Submitted, CFC Required by 9/15/20"
5125 GEARY BL,"Work Complete, CFC Issued"
171 DUBOCE ST,"Work Complete, CFC Issued"
401 HAIGHT ST,"Permit Submitted, CFC Required by 9/15/20"
1811 POWELL ST,"Work Complete, CFC Issued"
147 LEXINGTON ST,"Work Complete, CFC Issued"
1802 20TH ST,"Work Complete, CFC Issued"
918 BRODERICK ST,Non-Compliant
3798 MISSION ST,"Permit Submitted, CFC Required by 9/15/20"
4323 20TH ST,"Work Complete, CFC Issued"
250 HARTFORD ST,Non-Compliant
816 TARAVAL ST,"Permit Submitted, CFC Required by 9/15/20"
2201 LAKE ST,Non-Compliant
1538 CLAY ST,"Work Complete, CFC Issued"
195 SEAL ROCK DR,"Work Complete, CFC Issued"
6841 GEARY BL,"Work Complete, CFC Issued"
1635 10TH AV,"Work Complete, CFC Issued"
2415 BUCHANAN ST,"Work Complete, CFC Issued"
1985 GROVE ST,"Work Complete, CFC Issued"
1701 HAIGHT ST,"Work Complete, CFC Issued"
35 GLENDALE ST,"Work Complete, CFC Issued"
140 COOK ST,Non-Compliant
334 26TH AV,"Work Complete, CFC Issued"
666 GREENWICH ST,"Work Complete, CFC Issued"
1520 CALIFORNIA ST,"Work Complete, CFC Issued"
30 ROSEMONT PL,"Work Complete, CFC Issued"
561 ARGUELLO ST,"Work Complete, CFC Issued"
1534 CALIFORNIA ST,"Work Complete, CFC Issued"
550 14TH ST,"Work Complete, CFC Issued"
2171 PACIFIC AV,"Work Complete, CFC Issued"
227 SANCHEZ ST,"Work Complete, CFC Issued"
19 RAMONA AV,"Work Complete, CFC Issued"
490 FRANCISCO ST,"Permit Submitted, CFC Required by 9/15/20"
1101 FILLMORE ST,"Work Complete, CFC Issued"
591 GUERRERO ST,"Permit Submitted, CFC Required by 9/15/20"
535 VALENCIA ST,"Permit Submitted, CFC Required by 9/15/20"
2383 UNION ST,"Work Complete, CFC Issued"
2541 FOLSOM ST,"Work Complete, CFC Issued"
3650 JUDAH ST,"Work Complete, CFC Issued"
156 09TH AV,"Work Complete, CFC Issued"
3550 23RD ST,"Work Complete, CFC Issued"
166 JULIAN AV,"Work Complete, CFC Issued"
418 BRODERICK ST,"Work Complete, CFC Issued"
1230 HYDE ST,Non-Compliant
867 ASHBURY ST,"Work Complete, CFC Issued"
2286 JACKSON ST,"Work Complete, CFC Issued"
1201 GREEN ST,"Work Complete, CFC Issued"
2801 CALIFORNIA ST,"Permit Submitted, CFC Required by 9/15/20"
66 ALBION ST,"Work Complete, CFC Issued"
30 ESPANOLA ST,Non-Compliant
1463 SACRAMENTO ST,"Work Complete, CFC Issued"
545 BURNETT AV,"Work Complete, CFC Issued"
1401 NORIEGA ST,"Work Complete, CFC Issued"
821 BAKER ST,"Work Complete, CFC Issued"
1219 08TH AV,Non-Compliant
170 JERSEY ST,"Work Complete, CFC Issued"
2140 FELL ST.,"Work Complete, CFC Issued"
3172 24TH ST,"Work Complete, CFC Issued"
2815 FILBERT ST,"Work Complete, CFC Issued"
661 CASTRO ST,"Work Complete, CFC Issued"
55 DOLORES ST,"Work Complete, CFC Issued"
207 VALENCIA ST,"Work Complete, CFC Issued"
528 FELL ST,"Work Complete, CFC Issued"
1073 SOUTH VAN NESS AV,"Work Complete, CFC Issued"
865 FILBERT ST,"Work Complete, CFC Issued"
2619 MISSION ST,"Permit Submitted, CFC Required by 9/15/20"
1965 BUSH ST,"Work Complete, CFC Issued"
225 LINCOLN WY,"Work Complete, CFC Issued"
1925 LEAVENWORTH ST,"Work Complete, CFC Issued"
2300 FRANCISCO ST,"Work Complete, CFC Issued"
337 10TH AV,"Work Complete, CFC Issued"
1215 11TH AV,"Work Complete, CFC Issued"
115 HENRY ST,Non-Compliant
3 DEHON ST,"Work Complete, CFC Issued"
1645 LARKIN ST,"Work Complete, CFC Issued"
600 STANYAN ST,"Work Complete, CFC Issued"
2 SONOMA ST,Non-Compliant
1366 HAIGHT ST,Non-Compliant
1235 PINE ST,"Work Complete, CFC Issued"
55 VALPARAISO ST,Non-Compliant
519 24TH AV,"Work Complete, CFC Issued"
4005 CALIFORNIA ST,"Work Complete, CFC Issued"
1118 PACIFIC AV,"Work Complete, CFC Issued"
3070 SAN BRUNO AV,Non-Compliant
2430 STEINER ST,"Work Complete, CFC Issued"
3232 21ST ST,"Work Complete, CFC Issued"
2774 FRANKLIN ST,"Work Complete, CFC Issued"
2886 16TH ST,"Work Complete, CFC Issued"
7301 GEARY BL,"Work Complete, CFC Issued"
1677 HAIGHT ST,"Permit Submitted, CFC Required by 9/15/20"
343 21ST AV,"Work Complete, CFC Issued"
3101 LAGUNA ST,Non-Compliant
2425 LARKIN ST,"Work Complete, CFC Issued"
3760 NORIEGA ST,"Work Complete, CFC Issued"
4925 ANZA ST,"Work Complete, CFC Issued"
180 DUBOCE AV,Non-Compliant
728 22ND ST,"Work Complete, CFC Issued"
930 HAYES ST,"Work Complete, CFC Issued"
1499 GRANT AV,"Work Complete, CFC Issued"
80 OSCEOLA CT,Non-Compliant
2360 UNION ST,"Work Complete, CFC Issued"
1809 BROADWAY,"Work Complete, CFC Issued"
544 CLEMENT ST,"Work Complete, CFC Issued"
585 DOLORES ST,"Work Complete, CFC Issued"
349 SOUTH VAN NESS AV,"Work Complete, CFC Issued"
2737 SUTTER ST,"Work Complete, CFC Issued"
1108 LAKE ST,Non-Compliant
2901 BUCHANAN ST,"Work Complete, CFC Issued"
2828 WEBSTER ST,Non-Compliant
1852 FELL ST,Non-Compliant
1927 DIAMOND ST,"Work Complete, CFC Issued"
2920 TARAVAL ST,"Work Complete, CFC Issued"
714 BAY ST,Non-Compliant
140 LINDA ST,"Work Complete, CFC Issued"
2785 JACKSON ST,"Work Complete, CFC Issued"
821 VALLEJO ST,Non-Compliant
2550 GOLDEN GATE AV,"Work Complete, CFC Issued"
1200 POTRERO AV,"Work Complete, CFC Issued"
1135 HYDE ST,"Work Complete, CFC Issued"
1025 LOMBARD ST,"Work Complete, CFC Issued"
256 PRESIDIO AV,"Work Complete, CFC Issued"
748 PAGE ST,"Work Complete, CFC Issued"
838 14TH ST,"Work Complete, CFC Issued"
1137 MONTGOMERY ST,"Work Complete, CFC Issued"
2056 MISSION ST,"Work Complete, CFC Issued"
823 SHRADER ST,"Work Complete, CFC Issued"
154 WOOD ST,"Work Complete, CFC Issued"
1307 STEVENSON ST,Non-Compliant
369 03RD AV,"Permit Submitted, CFC Required by 9/15/20"
616 HAYES ST,Non-Compliant
1310 GREENWICH ST,"Work Complete, CFC Issued"
3824 18TH ST,Non-Compliant
1588 HAYES ST,Non-Compliant
3590 WASHINGTON ST,"Work Complete, CFC Issued"
1166 SOUTH VAN NESS AV,"Work Complete, CFC Issued"
1325 GREEN ST,"Work Complete, CFC Issued"
63 DIAMOND ST,Non-Compliant
85 CARL ST,"Work Complete, CFC Issued"
1656 SACRAMENTO ST,"Permit Submitted, CFC Required by 9/15/20"
536 THORNTON AV,"Work Complete, CFC Issued"
230 27TH AV,"Work Complete, CFC Issued"
145 BALBOA ST,"Work Complete, CFC Issued"
1267 FILBERT ST,"Work Complete, CFC Issued"
1320 PAGE ST,"Work Complete, CFC Issued"
267 GREEN ST,"Work Complete, CFC Issued"
706 OAK ST,"Permit Submitted, CFC Required by 9/15/20"
3080 JACKSON ST,"Work Complete, CFC Issued"
115 JULIAN AV,Non-Compliant
30 GARDENSIDE DR,"Work Complete, CFC Issued"
1403 JACKSON ST,"Permit Submitted, CFC Required by 9/15/20"
675 FELL ST,"Work Complete, CFC Issued"
600 GRAND VIEW AV,"Work Complete, CFC Issued"
335 03RD AV,Non-Compliant
2025 STOCKTON ST,"Work Complete, CFC Issued"
185 PARKER AVE,"Work Complete, CFC Issued"
415 03RD AV,"Work Complete, CFC Issued"
101 CARL ST,"Permit Submitted, CFC Required by 9/15/20"
1840 TURK ST,"Work Complete, CFC Issued"
1515 LEAVENWORTH ST,"Work Complete, CFC Issued"
3759 FILLMORE ST,"Work Complete, CFC Issued"
647 MINNA ST,Non-Compliant
1485 WALLER ST,"Work Complete, CFC Issued"
1266 18TH AV,"Work Complete, CFC Issued"
275 PARKER AV,Non-Compliant
2829 CLAY ST,"Work Complete, CFC Issued"
1147 FILBERT ST,"Work Complete, CFC Issued"
170 PARNASSUS AV,"Work Complete, CFC Issued"
2133 LARKIN ST,"Work Complete, CFC Issued"
486 GROVE ST,"Work Complete, CFC Issued"
1019 COLE ST,"Work Complete, CFC Issued"
2874 16TH ST,Non-Compliant
235 19TH AVE,"Work Complete, CFC Issued"
1229 FRANCISCO ST,"Work Complete, CFC Issued"
980 VALENCIA ST,"Permit Submitted, CFC Required by 9/15/20"
221 07TH AV,"Work Complete, CFC Issued"
2645 VAN NESS AV,"Work Complete, CFC Issued"
2350 VAN NESS AV,"Permit Submitted, CFC Required by 9/15/20"
867 FELL ST,Non-Compliant
459 11TH AV,"Work Complete, CFC Issued"
3100 TARAVAL ST,Non-Compliant
29 GUY PL,"Work Complete, CFC Issued"
55 WOODWARD ST,"Work Complete, CFC Issued"
735 BALBOA ST,"Work Complete, CFC Issued"
6900 FULTON ST,"Work Complete, CFC Issued"
2350 CALIFORNIA ST,"Work Complete, CFC Issued"
775 HAIGHT ST,"Work Complete, CFC Issued"
1485 CHURCH ST,"Work Complete, CFC Issued"
3050 22ND ST,"Work Complete, CFC Issued"
254 DOLORES ST,"Work Complete, CFC Issued"
3025 23RD ST,Non-Compliant
710 CLAYTON ST,"Work Complete, CFC Issued"
1424 JONES ST,"Work Complete, CFC Issued"
1315 SACRAMENTO ST,"Work Complete, CFC Issued"
1431 GROVE ST,"Work Complete, CFC Issued"
1101 PHELPS ST,Non-Compliant
10 COSO AV,"Work Complete, CFC Issued"
3459 DIVISADERO ST,"Permit Submitted, CFC Required by 9/15/20"
1201 POWELL ST,Non-Compliant
1735 HYDE ST,Non-Compliant
937 DOLORES ST,"Work Complete, CFC Issued"
948 SOUTH VAN NESS AV,Non-Compliant
2405 OCTAVIA ST,Non-Compliant
195 09TH AV,"Work Complete, CFC Issued"
730 DIVISADERO ST,"Work Complete, No CFC Issued yet"
905 ASHBURY ST,Non-Compliant
274 DIAMOND ST,"Work Complete, CFC Issued"
3114 CLAY ST,Non-Compliant
645 08TH AV,"Work Complete, CFC Issued"
5604 MISSION ST,"Work Complete, CFC Issued"
785 BAY ST,"Work Complete, CFC Issued"
262 FREDERICK ST,"Work Complete, CFC Issued"
1165 BAY ST,"Work Complete, CFC Issued"
848 ASHBURY ST,Non-Compliant
164 BEMIS ST,"Work Complete, CFC Issued"
40 BUCHANAN ST,"Work Complete, CFC Issued"
3101 CALIFORNIA ST,"Work Complete, CFC Issued"
2574 CHESTNUT ST,"Work Complete, CFC Issued"
390 ARGUELLO BL,"Work Complete, CFC Issued"
2687 MCALLISTER ST,"Work Complete, CFC Issued"
2201 FRANCISCO ST,"Work Complete, CFC Issued"
3888 18TH ST,"Work Complete, CFC Issued"
412 GREEN ST,"Work Complete, CFC Issued"
5717 MISSION ST,Non-Compliant
1329 GROVE ST,Non-Compliant
541 STEINER ST,"Work Complete, CFC Issued"
1040 STEINER ST,Non-Compliant
350 NOE ST,"Work Complete, CFC Issued"
966 PINE ST,"Work Complete, CFC Issued"
4125 26TH ST,"Work Complete, CFC Issued"
3333 CLEMENT ST,"Work Complete, CFC Issued"
2950 26TH ST,"Work Complete, CFC Issued"
1146 TAYLOR ST,"Work Complete, CFC Issued"
3315 CLEMENT ST,"Work Complete, CFC Issued"
2694 BUSH ST,"Work Complete, CFC Issued"
745 FILLMORE ST,Non-Compliant
3128 GEARY BLVD,"Work Complete, CFC Issued"
3848 SACRAMENTO ST,"Work Complete, CFC Issued"
1530 DOLORES ST,"Work Complete, CFC Issued"
1473 VALLEJO ST,"Work Complete, CFC Issued"
510 24TH AV,"Work Complete, CFC Issued"
890 PAGE ST,"Work Complete, CFC Issued"
1228 GROVE ST,"Work Complete, CFC Issued"
837 FILLMORE ST,"Permit Submitted, CFC Required by 9/15/20"
866 HAIGHT ST,"Work Complete, CFC Issued"
364 PAGE ST,"Work Complete, CFC Issued"
10 CAPRA WY,"Work Complete, CFC Issued"
2045 CABRILLO ST,Non-Compliant
1591 PAGE ST,"Work Complete, CFC Issued"
2740 SACRAMENTO ST,Non-Compliant
1220 LA PLAYA,"Work Complete, CFC Issued"
435 GREEN ST,"Work Complete, CFC Issued"
533 UNION ST,"Work Complete, CFC Issued"
1295 17TH AV,"Work Complete, CFC Issued"
45 MCCOPPIN ST,"Work Complete, CFC Issued"
292 CHURCH ST,"Permit Submitted, CFC Required by 9/15/20"
625 COLE ST,Non-Compliant
1470 09TH AV,Non-Compliant
1705 OCTAVIA ST,"Work Complete, CFC Issued"
735 MASON ST,"Work Complete, CFC Issued"
1167 PINE ST,Non-Compliant
1700 GOLDEN GATE AV,"Work Complete, CFC Issued"
26 CRESTLINE DR,"Work Complete, CFC Issued"
88 ELGIN PARK,"Work Complete, CFC Issued"
2401 CHESTNUT ST,"Permit Submitted, CFC Required by 9/15/20"
1525 CLEMENT ST,"Work Complete, CFC Issued"
3744 16TH ST,"Work Complete, CFC Issued"
501 38TH AV,"Work Complete, CFC Issued"
2386 LOMBARD ST,"Permit Submitted, CFC Required by 9/15/20"
1732 POLK ST,"Work Complete, CFC Issued"
367 04TH AV,"Work Complete, CFC Issued"
1246 CASTRO ST,"Work Complete, CFC Issued"
200 CAPP ST,"Work Complete, CFC Issued"
1245 JONES ST,"Work Complete, CFC Issued"
3250 LAGUNA ST,"Work Complete, CFC Issued"
1275 04TH AV,"Work Complete, CFC Issued"
1845 GOUGH ST,"Work Complete, CFC Issued"
1463 POWELL ST,"Permit Submitted, CFC Required by 9/15/20"
3336 LAGUNA ST,"Work Complete, CFC Issued"
1240 GENEVA AV,"Work Complete, CFC Issued"
3398 CALIFORNIA ST,Non-Compliant
2007 BUCHANAN ST,"Work Complete, CFC Issued"
1169 SOUTH VAN NESS AV,"Work Complete, CFC Issued"
1312 JACKSON ST,"Work Complete, CFC Issued"
1111 JONES ST,Non-Compliant
684 48TH AV,"Work Complete, CFC Issued"
1455 UNION ST,"Work Complete, CFC Issued"
777 ARGUELLO BL,"Work Complete, CFC Issued"
201 09TH ST,"Permit Submitted, CFC Required by 9/15/20"
90 CUMBERLAND ST,"Work Complete, CFC Issued"
775 COLE ST,"Work Complete, CFC Issued"
445 UPPER TR,"Work Complete, CFC Issued"
940 BAY ST,"Work Complete, CFC Issued"
2277 FULTON ST,"Work Complete, CFC Issued"
132 ALBION ST,"Work Complete, CFC Issued"
814 CALIFORNIA ST,"Work Complete, CFC Issued"
760 06TH AV,"Work Complete, CFC Issued"
3821 20TH ST,Non-Compliant
366 25TH AV,"Work Complete, CFC Issued"
2459 LARKIN ST,"Work Complete, CFC Issued"
759 JACKSON ST,"Permit Submitted, CFC Required by 9/15/20"
969 VALENCIA ST,"Work Complete, CFC Issued"
416 DOLORES ST,"Work Complete, CFC Issued"
2900 FRANKLIN ST,"Work Complete, CFC Issued"
1154 KEARNY ST,"Work Complete, CFC Issued"
2550 SLOAT BL,"Work Complete, CFC Issued"
668 PAGE ST,"Work Complete, CFC Issued"
1112 CAPITOL AV,"Work Complete, CFC Issued"
2238 CALIFORNIA ST,Non-Compliant
50 CRESTLINE DR,"Work Complete, CFC Issued"
700 PARNASSUS AV,"Work Complete, CFC Issued"
1335 38TH AV,"Work Complete, CFC Issued"
346 ALEMANY BL,"Work Complete, CFC Issued"
362 PIERCE ST,Non-Compliant
170 DUBOCE AV,"Work Complete, CFC Issued"
2 DIAMOND ST,"Work Complete, CFC Issued"
2265 MISSION ST,"Work Complete, CFC Issued"
625 OAK ST,Non-Compliant
84 HARRIET ST,"Work Complete, CFC Issued"
2027 OAK ST,"Work Complete, CFC Issued"
2360 VAN NESS AV,"Work Complete, CFC Issued"
628 CENTRAL AV,"Work Complete, CFC Issued"
1330 GUERRERO ST,"Work Complete, CFC Issued"
2060 PACIFIC AV,Non-Compliant
390 29TH AV,Non-Compliant
2255 SAN JOSE AV,"Work Complete, CFC Issued"
30 WAYNE PL,"Work Complete, CFC Issued"
554 06TH AV,"Work Complete, CFC Issued"
206 STEINER ST,"Work Complete, CFC Issued"
2960 CALIFORNIA ST,"Work Complete, CFC Issued"
1030 WASHINGTON ST,"Work Complete, CFC Issued"
1906 FOLSOM ST,"Permit Submitted, CFC Required by 9/15/20"
1880 FULTON ST,"Work Complete, CFC Issued"
1226 06TH AV,"Work Complete, CFC Issued"
2075 MARKET ST,"Work Complete, CFC Issued"
1341 GROVE ST,"Work Complete, CFC Issued"
600 24TH AV,"Work Complete, CFC Issued"
1875 SACRAMENTO ST,"Work Complete, CFC Issued"
293 04TH AV,"Permit Submitted, CFC Required by 9/15/20"
1644 TAYLOR ST,Non-Compliant
1342 GREEN ST,"Work Complete, CFC Issued"
400 UPPER TR,Non-Compliant
414 03RD AV,Non-Compliant
626 33RD AVE,"Work Complete, CFC Issued"
1158 GREEN ST,"Work Complete, CFC Issued"
56 RETIRO WY,"Work Complete, CFC Issued"
1345 GRANT AV,"Permit Submitted, CFC Required by 9/15/20"
501 GROVE ST,"Work Complete, CFC Issued"
900 RIVERA ST,"Work Complete, CFC Issued"
229 WILLARD ST,"Work Complete, CFC Issued"
230 SHRADER ST,"Work Complete, CFC Issued"
156 08TH ST,"Work Complete, CFC Issued"
990 DE HARO ST,"Work Complete, CFC Issued"
245 11TH AVE,"Work Complete, CFC Issued"
3146 DIVISADERO ST,"Work Complete, CFC Issued"
755 GREEN ST,Non-Compliant
695 33RD AV,"Permit Submitted, CFC Required by 9/15/20"
41 CRESTLINE DR,"Work Complete, CFC Issued"
1000 COLE ST,"Work Complete, CFC Issued"
254 04TH AV,"Work Complete, CFC Issued"
431 OCTAVIA ST,"Work Complete, CFC Issued"
1400 WASHINGTON ST,"Work Complete, CFC Issued"
701 PARKER AV,Non-Compliant
1458 PAGE ST,Non-Compliant
295 21ST AV,"Work Complete, CFC Issued"
565 DOLORES ST,"Permit Submitted, CFC Required by 9/15/20"
1565 JACKSON ST,"Work Complete, CFC Issued"
1637 SACRAMENTO ST,"Work Complete, CFC Issued"
435 09TH AV,"Work Complete, CFC Issued"
155 FAIR OAKS ST,"Permit Submitted, CFC Required by 9/15/20"
1755 MCALLISTER ST,"Work Complete, CFC Issued"
1635 BUSH ST,"Work Complete, CFC Issued"
129 18TH AV,"Permit Submitted, CFC Required by 9/15/20"
151 ALBION ST,"Work Complete, CFC Issued"
1255 TARAVAL ST,"Work Complete, CFC Issued"
1290 FULTON ST,"Permit Submitted, CFC Required by 9/15/20"
305 ARBOR ST,"Work Complete, CFC Issued"
1400 08TH AV,"Permit Submitted, CFC Required by 9/15/20"
610 CLIPPER ST,"Work Complete, CFC Issued"
6 WHITNEY ST,"Work Complete, CFC Issued"
257 CARL ST,"Work Complete, CFC Issued"
2567 FOLSOM ST,"Work Complete, CFC Issued"
198 DOLORES ST,"Work Complete, CFC Issued"
2700 POLK ST,"Work Complete, CFC Issued"
2275 FRANCISCO ST,"Work Complete, CFC Issued"
215 14TH ST,"Work Complete, CFC Issued"
2500 VAN NESS AV,"Work Complete, CFC Issued"
180 CORWIN ST,"Work Complete, CFC Issued"
1207 CHESTNUT ST,Non-Compliant
106 ALBION ST,"Work Complete, CFC Issued"
2250 MISSION ST,"Permit Submitted, CFC Required by 9/15/20"
654 CAPP ST,"Work Complete, CFC Issued"
1011 HOWARD ST,Non-Compliant
345 LYON ST,"Work Complete, CFC Issued"
126 VALPARAISO ST,"Work Complete, CFC Issued"
532 COLE ST,Non-Compliant
1401 20TH AV,"Work Complete, CFC Issued"
2231 OFARRELL ST,"Work Complete, CFC Issued"
2450 BRYANT ST,Non-Compliant
69 HENRY ST,"Work Complete, No CFC Issued yet"
2329 DIVISADERO ST,"Work Complete, CFC Issued"
3456 CESAR CHAVEZ ST,"Permit Submitted, CFC Required by 9/15/20"
614 COLE ST,"Work Complete, CFC Issued"
3481 PIERCE ST,"Work Complete, CFC Issued"
930 SCOTT ST,"Work Complete, CFC Issued"
626 CHURCH ST,"Work Complete, CFC Issued"
3315 OCTAVIA ST,"Work Complete, CFC Issued"
233 DOLORES ST,Non-Compliant
1267 11TH AV,Non-Compliant
670 DE HARO ST,"Work Complete, CFC Issued"
3700 20TH ST,"Work Complete, CFC Issued"
1025 SCOTT ST,"Work Complete, CFC Issued"
339 WALLER ST,"Work Complete, CFC Issued"
530 BARTLETT ST,"Work Complete, CFC Issued"
630 LAKE ST,"Work Complete, CFC Issued"
2901 SCOTT ST,"Work Complete, CFC Issued"
60 SYCAMORE ST,Non-Compliant
1219 TAYLOR ST,"Work Complete, CFC Issued"
530 SCOTT ST,Non-Compliant
2015 STOCKTON ST,"Work Complete, CFC Issued"
1625 EDDY ST,"Work Complete, CFC Issued"
807 BURNETT AV,"Work Complete, CFC Issued"
423 25TH AV,"Work Complete, CFC Issued"
1406 PACIFIC AV,"Permit Submitted, CFC Required by 9/15/20"
400 VALLEJO ST,"Work Complete, CFC Issued"
651 SCOTT ST,Non-Compliant
1324 PINE ST,"Work Complete, CFC Issued"
443 15TH AV,"Work Complete, CFC Issued"
124 PAGE ST,"Work Complete, CFC Issued"
1179 HAYES ST,"Work Complete, CFC Issued"
2401 FILLMORE ST,"Permit Submitted, CFC Required by 9/15/20"
75 PALM AV,Non-Compliant
1864 LARKIN ST,"Work Complete, CFC Issued"
2485 UNION ST,Non-Compliant
2024 BRODERICK ST,"Work Complete, CFC Issued"
1261 BRODERICK ST,"Work Complete, CFC Issued"
2660 WEBSTER ST,"Work Complete, CFC Issued"
